geometry,Feature:string,Label:string,Diff Erosion:boolean,Septum:boolean,Too eroded:boolean,Superposition:boolean,Diff Depth:boolean,Second Look:boolean,Radial Ejecta Lobes:boolean
"LINESTRING (152.89116 47.69037, 152.72408 47.13581)",polyline,1392-4461,,,,,,,
"LINESTRING (268.93372 2.16796, 269.25604 2.64247)",polyline,1396-4640,,,,,,,
"LINESTRING (26.38770999999997 -37.50006, 25.57562999999999 -37.49351)",polyline,1398-3050,,,,,,,
"LINESTRING (121.51213000000001 34.68167, 120.82121000000001 34.82496)",polyline,1404-6427,,,,,,,
"LINESTRING (176.70363 28.68226, 177.28378 28.84493)",polyline,1412-4892,,,,,,,
"LINESTRING (52.32591000000002 -20.21182, 52.946230000000014 -20.11316)",polyline,1415-3847,,,,,,,
"LINESTRING (112.09026 15.56454, 112.1875 15.25)",polyline,1418-7944,,,,,,,
"LINESTRING (319.66959 44.56404, 319.63428 44.97734)",polyline,1425-5201,,,,,,,
"LINESTRING (202.04057 -34.43157, 201.37601 -34.56947)",polyline,1426-6326,,,,,,,
"LINESTRING (24.956529999999987 2.15001, 25.490229999999997 2.07358)",polyline,1427-3838,,,,,,,
"LINESTRING (280.87881 8.15537, 281.17773 7.68698)",polyline,1439-7091,,,,,,,
"LINESTRING (219.6078 10.16847, 219.23289 9.7831)",polyline,1446-5302,,,,,,,
"LINESTRING (155.02481 -20.86652, 155.38519 -20.89326)",polyline,1448-2092,,,,,,,
"LINESTRING (235.96051 2.24695, 235.74646 2.65528)",polyline,1450-5121,,,,,,,
"LINESTRING (252.19096 25.49128, 252.35625 25.38498)",polyline,1468-6515,,,,,,,
"LINESTRING (348.58084 59.11579, 347.84619 59.502)",polyline,1472-1550,,,,,,,
"LINESTRING (89.06666999999999 40.18065, 88.71577000000002 40.70122)",polyline,1473-2445,,,,,,,
"LINESTRING (236.28055 40.74528, 236.9655 40.99312)",polyline,1477-1785,,,,,,,
"LINESTRING (241.09476 -2.33676, 241.54008 -2.69378)",polyline,1482-2549,,,,,,,
"LINESTRING (253.77792 -0.7196, 253.72514 -0.08807)",polyline,1483-3266,,,,,,,
"LINESTRING (316.49283 53.88965, 315.98682 53.49543)",polyline,1484-3832,,,,,,,
"LINESTRING (24.11171999999999 24.23235, 24.208669999999984 23.80198)",polyline,1487-2590,,,,,,,
"LINESTRING (3.6834499999999935 32.22708, 2.8974699999999984 32.38628)",polyline,1499-2151,,,,,,,
"LINESTRING (161.2012 31.18246, 160.66835 31.2362)",polyline,1503-2641,,,,,,,
"LINESTRING (110.24513999999999 7.54584, 110.59329 7.76648)",polyline,1507-3833,,,,,,,
"LINESTRING (323.98962 27.49219, 323.73389 27.61411)",polyline,1512-1843,,,,,,,
"LINESTRING (288.01855 6.70214, 287.58069 6.95954)",polyline,1513-1790,,,,,,,
"LINESTRING (331.7818 5.18034, 331.50482 5.04525)",polyline,1515-6428,,,,,,,
"LINESTRING (324.50653 40.33521, 324.82968 40.8185)",polyline,1525-7611,,,,,,,
"LINESTRING (76.57391999999999 43.49624, 77.43626 43.53104)",polyline,1541-2881,,,,,,,
"LINESTRING (143.51794 57.10205, 142.57776 57.14735)",polyline,1542-5828,,,,,,,
"LINESTRING (143.51794 57.10205, 143.99652 57.14312)",polyline,1542-7298,,,,,,,
"LINESTRING (204.62141 -22.71041, 205.13029 -22.71399)",polyline,1544-4250,,,,,,,
"LINESTRING (51.48702000000003 -19.33188, 50.93203 -19.37561)",polyline,1548-7202,,,,,,,
"LINESTRING (62.560850000000016 -13.41682, 62.435 -12.90631)",polyline,1553-4633,,,,,,,
"LINESTRING (355.54626 15.64524, 355.95737 15.23649)",polyline,1554-7003,,,,,,,
"LINESTRING (169.43636 -28.49347, 169.94299 -28.19549)",polyline,1556-7769,,,,,,,
"LINESTRING (56.37598000000003 27.53225, 56.456560000000025 27.02397)",polyline,1560-2116,,,,,,,
"LINESTRING (270.55063 4.71398, 270.76309 4.14076)",polyline,1568-4101,,,,,,,
"LINESTRING (155.00426 9.18841, 155.4529 8.95143)",polyline,1570-4824,,,,,,,
"LINESTRING (34.99916000000002 36.90612, 35.34577999999999 37.11642)",polyline,1574-6105,,,,,,,
"LINESTRING (160.97926 34.26881, 161.5583 34.02907)",polyline,1577-5831,,,,,,,
"LINESTRING (21.038070000000005 52.8142, 21.32035000000002 52.68729)",polyline,1578-7644,,,,,,,
"LINESTRING (10.681120000000021 23.44698, 10.105270000000019 23.81393)",polyline,1584-2720,,,,,,,
"LINESTRING (285.47067 21.9621, 284.76123 22.05983)",polyline,1590-2527,,,,,,,
"LINESTRING (256.55231 47.93999, 255.791 48.17311)",polyline,1593-7985,,,,,,,
"LINESTRING (256.55231 47.93999, 256.34232 48.32254)",polyline,1593-8250,,,,,,,
"LINESTRING (90.20175999999998 -52.14374, 90.23194000000001 -52.64103)",polyline,1595-4634,,,,,,,
"LINESTRING (194.1951 -47.1243, 193.56277 -47.48027)",polyline,1596-6483,,,,,,,
"LINESTRING (129.6658 47.17413, 129.87471 46.84313)",polyline,1600-4789,,,,,,,
"LINESTRING (353.95761 24.57675, 353.58997 25.06496)",polyline,1603-2832,,,,,,,
"LINESTRING (71.68862000000001 9.15751, 72.12702000000002 9.4696)",polyline,1607-7130,,,,,,,
