geometry,Feature:string,Label:string
"LINESTRING (254.11826 -13.20151, 253.95229 -12.41046)",polyline,34-61
"LINESTRING (254.11826 -13.20151, 256.28146 -14.00831)",polyline,34-62
"LINESTRING (254.11826 -13.20151, 252.01441 -12.46274)",polyline,34-63
"LINESTRING (254.11826 -13.20151, 254.92521 -13.0501)",polyline,34-66
"LINESTRING (254.11826 -13.20151, 252.96521 -12.41276)",polyline,34-73
"LINESTRING (267.19123 -24.85962, 267.53704 -22.82813)",polyline,35-48
"LINESTRING (267.19123 -24.85962, 269.22751 -25.30096)",polyline,35-49
"LINESTRING (267.19123 -24.85962, 269.50033 -25.8036)",polyline,35-53
"LINESTRING (252.9 -11.82737, 252.9382 -13.83102)",polyline,36-37
"LINESTRING (252.9 -11.82737, 251.07751 -11.97484)",polyline,36-38
"LINESTRING (252.9 -11.82737, 253.95229 -12.41046)",polyline,36-61
"LINESTRING (252.9 -11.82737, 252.01441 -12.46274)",polyline,36-63
"LINESTRING (252.9 -11.82737, 254.92521 -13.0501)",polyline,36-66
"LINESTRING (252.9 -11.82737, 252.96521 -12.41276)",polyline,36-73
"LINESTRING (252.9382 -13.83102, 253.31695 -14.74164)",polyline,37-39
"LINESTRING (252.9382 -13.83102, 253.95229 -12.41046)",polyline,37-61
"LINESTRING (252.9382 -13.83102, 252.01441 -12.46274)",polyline,37-63
"LINESTRING (252.9382 -13.83102, 254.92521 -13.0501)",polyline,37-66
"LINESTRING (252.9382 -13.83102, 252.96521 -12.41276)",polyline,37-73
"LINESTRING (251.07751 -11.97484, 252.01441 -12.46274)",polyline,38-63
"LINESTRING (251.07751 -11.97484, 252.96521 -12.41276)",polyline,38-73
"LINESTRING (253.31695 -14.74164, 253.95229 -12.41046)",polyline,39-61
"LINESTRING (253.31695 -14.74164, 254.92521 -13.0501)",polyline,39-66
"LINESTRING (253.31695 -14.74164, 252.96521 -12.41276)",polyline,39-73
"LINESTRING (250.23586 -17.94914, 250.01624 -17.51562)",polyline,40-54
"LINESTRING (253.51529 -18.09921, 255.19928 -17.09729)",polyline,41-57
"LINESTRING (250.7852 -22.84287, 250.41268 -22.42163)",polyline,43-44
"LINESTRING (250.7852 -22.84287, 252.71918 -23.73163)",polyline,43-58
"LINESTRING (250.7852 -22.84287, 252.69871 -24.20837)",polyline,43-65
"LINESTRING (250.7852 -22.84287, 250.90997 -23.10038)",polyline,43-67
"LINESTRING (250.7852 -22.84287, 252.05386 -22.23613)",polyline,43-77
"LINESTRING (250.41268 -22.42163, 250.90997 -23.10038)",polyline,44-67
"LINESTRING (250.41268 -22.42163, 252.05386 -22.23613)",polyline,44-77
"LINESTRING (256.43851 -26.95714, 257.00051 -27.978)",polyline,45-72
"LINESTRING (256.43851 -26.95714, 256.00179 -25.3317)",polyline,45-74
"LINESTRING (258.75462 -23.18741, 256.69898 -24.48302)",polyline,46-52
"LINESTRING (258.75462 -23.18741, 259.44528 -25.36575)",polyline,46-70
"LINESTRING (264.95485 -28.88822, 265.57007 -29.29322)",polyline,47-68
"LINESTRING (269.22751 -25.30096, 269.50033 -25.8036)",polyline,49-53
"LINESTRING (259.9528 -11.12499, 259.74663 -10.24931)",polyline,50-75
"LINESTRING (258.48201 -15.34771, 258.15882 -15.32823)",polyline,51-69
"LINESTRING (256.69898 -24.48302, 256.00179 -25.3317)",polyline,52-74
"LINESTRING (259.77055 -26.10726, 261.95097 -27.11481)",polyline,55-59
"LINESTRING (259.77055 -26.10726, 261.39773 -27.55729)",polyline,55-60
"LINESTRING (259.77055 -26.10726, 259.33229 -25.99402)",polyline,55-64
"LINESTRING (259.77055 -26.10726, 259.44528 -25.36575)",polyline,55-70
"LINESTRING (259.77055 -26.10726, 260.45112 -26.5307)",polyline,55-71
"LINESTRING (252.71918 -23.73163, 252.69871 -24.20837)",polyline,58-65
"LINESTRING (252.71918 -23.73163, 250.90997 -23.10038)",polyline,58-67
"LINESTRING (252.71918 -23.73163, 252.05386 -22.23613)",polyline,58-77
"LINESTRING (261.95097 -27.11481, 261.39773 -27.55729)",polyline,59-60
"LINESTRING (261.95097 -27.11481, 260.45112 -26.5307)",polyline,59-71
"LINESTRING (261.39773 -27.55729, 259.33229 -25.99402)",polyline,60-64
"LINESTRING (261.39773 -27.55729, 260.45112 -26.5307)",polyline,60-71
"LINESTRING (261.39773 -27.55729, 259.09523 -28.74351)",polyline,60-80
